Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
557,Vladislav Namestnikov,22,TBL,C,43,9,7,16,1,13,8,1,0,3,6,1,0,46,19.6,516,11:00
558,Rick Nash,30,NYR,LW,79,42,27,69,29,36,32,6,4,8,20,6,1,304,13.8,1379,17:27
559,Riley Nash,25,CAR,C,68,8,17,25,-10,12,7,1,0,0,12,5,0,94,8.5,1109,16:19
560,James Neal,27,NSH,LW,67,23,14,37,12,57,20,3,0,6,13,1,0,222,10.4,1212,18:05
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
561,Chris Neil,35,OTT,RW,38,4,3,7,5,78,3,1,0,0,3,0,0,23,17.4,370,9:44
562,Brock Nelson,23,NYI,C,82,20,22,42,6,24,10,10,0,3,17,5,0,190,10.5,1302,15:53
563,Patrick Nemeth,22,DAL,D,22,0,3,3,0,6,0,0,0,0,3,0,0,16,0.0,357,16:13
564,Nikita Nesterov,21,TBL,D,27,2,5,7,6,16,1,1,0,0,4,1,0,44,4.5,433,16:03
565,Andrej Nestrasil,23,TOT,C,54,7,13,20,-1,8,5,2,0,0,10,3,0,82,8.5,721,13:21
566,Valeri Nichushkin,19,DAL,RW,8,0,1,1,-5,2,0,0,0,0,1,0,0,6,0.0,110,13:46
567,Nino Niederreiter,22,MIN,RW,80,24,13,37,2,28,17,6,1,5,11,2,0,149,16.1,1164,14:33
568,Frans Nielsen,30,NYI,C,78,14,29,43,8,12,9,4,1,4,13,14,2,157,8.9,1293,16:35
569,Matthew Nieto,22,SJS,LW,72,10,17,27,-12,20,9,1,0,1,13,3,1,135,7.4,1098,15:15
570,Nikita Nikitin,28,EDM,D,42,4,6,10,-12,12,2,2,0,1,5,1,0,80,5.0,825,19:38
571,Matt Niskanen,28,WSH,D,82,4,27,31,7,47,2,2,0,0,18,8,1,117,3.4,1833,22:21
572,Stefan Noesen,21,ANA,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,6:54
573,Jordan Nolan,25,LAK,C,60,6,3,9,-6,54,6,0,0,1,3,0,0,44,13.6,598,9:58
574,Joakim Nordstrom,22,CHI,C,38,0,3,3,-5,4,0,0,0,0,3,0,0,42,0.0,417,10:58
575,Ryan Nugent-Hopkins,21,EDM,C,76,24,32,56,-12,25,22,2,0,2,19,12,1,189,12.7,1569,20:38
